,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_superclass_name,taxon_class_name,taxon_subclass_name,taxon_superorder_name,taxon_order_name,taxon_suborder_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_supertribe_name,taxon_tribe_name,taxon_subtribe_name,taxon_genus_name,taxon_genushybrid_name,taxon_species_name,taxon_hybrid_name,taxon_subspecies_name,taxon_variety_name,taxon_form_name
10,Cladonia fimbriata,Skutuotoji šiurė,Fungi,179037,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,,,Cladonia,,Cladonia fimbriata,,,,
11,Cygnus olor,Gulbė nebylė,Aves,6921,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,,,Cygnus,,Cygnus olor,,,,
12,Auricularia mesenterica,Raukšlinis ausiagrybis,Fungi,332467,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Auriculariales,,,Auriculariaceae,,,,,Auricularia,,Auricularia mesenterica,,,,
13,Polyporales,Kempiniečiai,Fungi,47380,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,,,,,,,,,,,,
14,Pertusaria leioplaca,Lygioji spuoguotė,Fungi,117855,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Pertusariales,,,Pertusariaceae,,,,,Pertusaria,,Pertusaria leioplaca,,,,
15,Lepra amara,Karčioji spuoguotė,Fungi,630835,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Pertusariales,,,Pertusariaceae,,,,,Lepra,,Lepra amara,,,,
16,Lecanora,Lekanora,Fungi,50252,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,,,Lecanora,,,,,,
17,Pyrenula nitidella,Smulkioji raupuotė,Fungi,596962,Fungi,Ascomycota,Pezizomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Pyrenulales,,,Pyrenulaceae,,,,,Pyrenula,,Pyrenula nitidella,,,,
18,Daedalea quercina,Ąžuolinis Vinguris,Fungi,55973,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Fomitopsidaceae,,,,,Daedalea,,Daedalea quercina,,,,
19,Lamium purpureum,Raudonžiedė notrelė,Plantae,55851,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lamiaceae,Lamioideae,,Lamieae,,Lamium,,Lamium purpureum,,,,
22,Anas platyrhynchos,Didžioji antis,Aves,6930,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,,,Anas,,Anas platyrhynchos,,,,
23,Chroicocephalus ridibundus,Rudagalvis kiras,Aves,144510,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Laridae,Larinae,,,,Chroicocephalus,,Chroicocephalus ridibundus,,,,
24,Exidiopsis effusa,Sklaidžioji vaškaplutė,Fungi,518289,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Auriculariales,,,Auriculariaceae,,,,,Exidiopsis,,Exidiopsis effusa,,,,
25,Flammulina,Ugniabudė,Fungi,67595,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Marasmiineae,,Physalacriaceae,,,,,Flammulina,,,,,,
26,Echinocystis lobata,Dygliavaisis virkštenis,Plantae,48618,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Cucurbitales,,,Cucurbitaceae,,,Sicyoeae,,Echinocystis,,Echinocystis lobata,,,,
27,Dipsacus strigosus,,Plantae,155487,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,Caprifoliaceae,Dipsacoideae,,,,Dipsacus,,Dipsacus strigosus,,,,
28,Lepturinae,Grakštenėnai,Insecta,321450,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Cerambycoidea,Cerambycidae,Lepturinae,,,,,,,,,,
29,Vanellus vanellus,Paprastoji pempė,Aves,4857,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Charadriidae,,,,,Vanellus,,Vanellus vanellus,,,,
30,Anser anser domesticus,,Aves,120479,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,,,Anser,,Anser anser,,,Anser anser domesticus,
31,Tremella mesenterica,Raukšlinis žiūrytis,Fungi,48529,Fungi,Basidiomycota,Agaricomycotina,,Tremellomycetes,,,Tremellales,,,Tremellaceae,,,,,Tremella,,Tremella mesenterica,,,,
32,Ligustrum vulgare,Paprastasis ligustras,Plantae,119805,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Oleaceae,,,,,Ligustrum,,Ligustrum vulgare,,,,
34,Macoma balthica,Baltijinė makoma,Mollusca,203759,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,Tellinoidea,Tellinidae,Macominae,,,,Macoma,,Macoma balthica,,,,
35,Fomitiporia robusta,Ąžuolinė kempinė,Fungi,485958,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Hymenochaetales,,,Hymenochaetaceae,,,,,Fomitiporia,,Fomitiporia robusta,,,,
36,Xanthoria parietina,Sieninė geltonkerpė,Fungi,55576,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Teloschistaceae,Xanthorioideae,,,,Xanthoria,,Xanthoria parietina,,,,
38,Fomitopsis pinicola,Raudonkraštė pintainė,Fungi,1098280,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Fomitopsidaceae,,,,,Fomitopsis,,Fomitopsis pinicola,,,,
39,Cladonia,Šiurė,Fungi,49490,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,,,Cladonia,,,,,,
40,Lepraria,Miltinuotė,Fungi,154184,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Stereocaulaceae,,,,,Lepraria,,,,,,
41,Cladonia coniocraea,Dulkėtoji šiurė,Fungi,155093,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,,,Cladonia,,Cladonia coniocraea,,,,
42,Stereum hirsutum,Gauruotoji plutpintė,Fungi,55501,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Stereaceae,,,,,Stereum,,Stereum hirsutum,,,,
44,Ganoderma applanatum,Plokščiasis blizgutis,Fungi,48473,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Polyporaceae,,,,,Ganoderma,,Ganoderma applanatum,,,,
46,Sarcomyxa serotina,Geltonkotis skiautenėlis,Fungi,63585,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Pleurotineae,,Sarcomyxaceae,,,,,Sarcomyxa,,Sarcomyxa serotina,,,,
47,Picea abies,Paprastoji eglė,Plantae,63567,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,Pinaceae,,,,,Picea,,Picea abies,,,,
48,Neckera pennata,Plunksninė pliusnė,Plantae,132674,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Neckeraceae,,,,,Neckera,,Neckera pennata,,,,
49,Anomodon longifolius,Ilgalapė kreivadantė,Plantae,485450,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Anomodontaceae,,,,,Anomodon,,Anomodon longifolius,,,,
51,Merulius tremellosus,Geltonasis raukšliagrybis,Fungi,179113,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Meruliaceae,,,,,Merulius,,Merulius tremellosus,,,,
52,Chondrostereum purpureum,Purpurinis plutainis,Fungi,118036,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Marasmiineae,,Cyphellaceae,,,,,Chondrostereum,,Chondrostereum purpureum,,,,
53,Fungi,Grybai,Fungi,47170,Fungi,,,,,,,,,,,,,,,,,,,,,
54,Ascocoryne sarcoides,Mėsingoji aukšliataurė,Fungi,49075,Fungi,Ascomycota,Pezizomycotina,,Leotiomycetes,,,Helotiales,,,Gelatinodiscaceae,,,,,Ascocoryne,,Ascocoryne sarcoides,,,,
56,Hymenochaete rubiginosa,Rūdėtasis šiurkštenis,Fungi,351061,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Hymenochaetales,,,Hymenochaetaceae,,,,,Hymenochaete,,Hymenochaete rubiginosa,,,,
57,Graphis,Brėžis,Fungi,117992,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Ostropales,,,Graphidaceae,,,,,Graphis,,,,,,
59,Culicidae,Tikrieji Uodai,Insecta,52134,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,Culicoidea,Culicidae,,,,,,,,,,,
60,Araneae,Vorai,Arachnida,47118,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,,,,,,,,,,,,,,
61,Tetragnatha,Storažandžiai,Arachnida,47550,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Tetragnathidae,,,,,Tetragnatha,,,,,,
63,Vitrina pellucida,Trapioji skaidrenė,Mollusca,233586,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Limacoidea,Vitrinidae,Vitrininae,,,,Vitrina,,Vitrina pellucida,,,,
64,Cochlicopa lubrica,Paprastoji žvilgė,Mollusca,217274,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Pupilloidea,Cochlicopidae,,,,,Cochlicopa,,Cochlicopa lubrica,,,,
65,Phytophthora,Fitoftora,Chromista,52594,Chromista,Oomycota,,,Peronosporomycetes,,,Peronosporales,,,Peronosporaceae,,,,,Phytophthora,,,,,,
66,Animalia,Gyvūnai,Animalia,1,Animalia,,,,,,,,,,,,,,,,,,,,,
67,Polygonia c-album,Karpytūnė,Insecta,56225,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Nymphalidae,Nymphalinae,,Nymphalini,,Polygonia,,Polygonia c-album,,,,
69,Trichoderma,,Fungi,352744,Fungi,Ascomycota,Pezizomycotina,,Sordariomycetes,Hypocreomycetidae,,Hypocreales,,,Hypocreaceae,,,,,Trichoderma,,,,,,
70,Arthropoda,Nariuotakojai,Animalia,47120,Animalia,Arthropoda,,,,,,,,,,,,,,,,,,,,
71,Tanacetum vulgare,Paprastoji bitkrėslė,Plantae,55971,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,,Anthemideae,Anthemidinae,Tanacetum,,Tanacetum vulgare,,,,
72,Cyanistes caeruleus,Mėlynoji zylė,Aves,144849,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Paridae,,,,,Cyanistes,,Cyanistes caeruleus,,,,
73,Hypnum cupressiforme,Kiparisinė patisa,Plantae,163992,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Hypnaceae,,,,,Hypnum,,Hypnum cupressiforme,,,,
74,Artiodactyla,,Mammalia,152870,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,,,,,,,,,,,,,,
76,Basidiomycota,Papėdgrybiai,Fungi,47169,Fungi,Basidiomycota,,,,,,,,,,,,,,,,,,,,
78,Inonotus obliquus,Įžulnusis skylenis,Fungi,127021,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Hymenochaetales,,,Hymenochaetaceae,,,,,Inonotus,,Inonotus obliquus,,,,
79,Pleurotus,Kreivabudė,Fungi,48496,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Pleurotineae,,Pleurotaceae,,,,,Pleurotus,,,,,,
81,Ramalina farinacea,Miltuotoji ramalina,Fungi,54758,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Ramalinaceae,,,,,Ramalina,,Ramalina farinacea,,,,
82,Dryocopus martius,Juodoji meleta,Aves,17835,Animalia,Chordata,Vertebrata,,Aves,,,Piciformes,,,Picidae,,,,,Dryocopus,,Dryocopus martius,,,,
83,Hypholoma lateritium,Geltonraudė kelmabudė,Fungi,130203,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Strophariaceae,,,,,Hypholoma,,Hypholoma lateritium,,,,
84,Exidia recisa,,Fungi,129027,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Auriculariales,,,Auriculariaceae,,,,,Exidia,,Exidia recisa,,,,
85,Apioperdon pyriforme,Kriaušinis pumpotaukšlis,Fungi,972793,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Lycoperdaceae,,,,,Apioperdon,,Apioperdon pyriforme,,,,
87,Pinus sylvestris,Paprastoji pušis,Plantae,58722,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,Pinaceae,,,,,Pinus,,Pinus sylvestris,,,,
88,Hylocomium splendens,Atžalinė gūžtvė,Plantae,122555,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Hylocomiaceae,,,,,Hylocomium,,Hylocomium splendens,,,,
89,Phlyctis argena,Eglinė spuogė,Fungi,182631,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Ostropales,,,Phlyctidaceae,,,,,Phlyctis,,Phlyctis argena,,,,
90,Buellia griseovirens,Pilkžalė buelija,Fungi,215538,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Caliciaceae,,,,,Buellia,,Buellia griseovirens,,,,
91,Radula complanata,Plokščioji miltuotė,Plantae,67842,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Porellales,,,Radulaceae,,,,,Radula,,Radula complanata,,,,
93,Lophodermium pinastri,Pušinis spygliakrėtis,Fungi,345347,Fungi,Ascomycota,Pezizomycotina,,Leotiomycetes,,,Rhytismatales,,,Rhytismataceae,,,,,Lophodermium,,Lophodermium pinastri,,,,
94,Cytisus scoparius,Šluotinis raipstas,Plantae,48538,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,,Genisteae,,Cytisus,,Cytisus scoparius,,,,
95,Corylus avellana,Paprastasis lazdynas,Plantae,54491,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fagales,,,Betulaceae,,,,,Corylus,,Corylus avellana,,,,
96,Molorchus minor,Eglinis Laibūnas,Insecta,497423,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Cerambycoidea,Cerambycidae,Cerambycinae,,Molorchini,,Molorchus,,Molorchus minor,,,,
97,Trichaptum abietinum,Eglinė Kempelė,Fungi,118115,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Hymenochaetales,,,Hymenochaetaceae,,,,,Trichaptum,,Trichaptum abietinum,,,,
98,Pleurozium schreberi,Paprastoji šilsamanė,Plantae,130677,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Hylocomiaceae,,,,,Pleurozium,,Pleurozium schreberi,,,,
99,Oxalis acetosella,Paprastasis kiškiakopūstis,Plantae,69624,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Oxalidales,,,Oxalidaceae,,,,,Oxalis,,Oxalis acetosella,,,,
100,Chaenotheca ferruginea,Rūdinė žiovenė,Fungi,210527,Fungi,Ascomycota,Pezizomycotina,,Coniocybomycetes,,,Coniocybales,,,Coniocybaceae,,,,,Chaenotheca,,Chaenotheca ferruginea,,,,
101,Mniaceae,Mnijiniai,Plantae,49393,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Mniaceae,,,,,,,,,,,
103,Asarum europaeum,Europinė pipirlapė,Plantae,128901,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Piperales,,,Aristolochiaceae,Asaroideae,,,,Asarum,,Asarum europaeum,,,,
104,Bacidia subincompta,Padrikoji bacidija,Fungi,214740,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Ramalinaceae,,,,,Bacidia,,Bacidia subincompta,,,,
105,Acrocordia gemmata,Baltoji akrokordija,Fungi,212393,Fungi,Ascomycota,Pezizomycotina,,Dothideomycetes,,,Monoblastiales,,,Monoblastiaceae,,,,,Acrocordia,,Acrocordia gemmata,,,,
106,Arthothelium ruanum,Lygioji plonkerpė,Fungi,214357,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Arthoniaceae,,,,,Arthothelium,,Arthothelium ruanum,,,,
107,Lamium galeobdolon,Geltonžiedis šalmutis,Plantae,204339,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lamiaceae,Lamioideae,,Lamieae,,Lamium,,Lamium galeobdolon,,,,
109,Cynips quercusfolii,Obuoliškoji gumbavapsvė,Insecta,119642,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Cynipoidea,Cynipidae,Cynipinae,,Cynipini,,Cynips,,Cynips quercusfolii,,,,
110,Coleoptera,Vabalai,Insecta,47208,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,,,,,,,,,,,,,,
112,Pseudevernia furfuracea,Sėleninė Briedragūnė,Fungi,175355,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,,,Pseudevernia,,Pseudevernia furfuracea,,,,
113,Platismatia glauca,Melsvoji kerpenuotė,Fungi,117874,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,,,Platismatia,,Platismatia glauca,,,,
114,Inoderma byssaceum,Pelėsinė artonija,Fungi,532103,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Arthoniaceae,,,,,Inoderma,,Inoderma byssaceum,,,,
115,Chaenotheca furfuracea,Sėleninė žiovenė,Fungi,117939,Fungi,Ascomycota,Pezizomycotina,,Coniocybomycetes,,,Coniocybales,,,Coniocybaceae,,,,,Chaenotheca,,Chaenotheca furfuracea,,,,
116,Ropalospora viridis,Žalioji ropalospora,Fungi,230317,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Umbilicariomycetidae,,Umbilicariales,,,Ropalosporaceae,,,,,Ropalospora,,Ropalospora viridis,,,,
117,Graphis scripta,Rašytinis brėžis,Fungi,117987,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Ostropales,,,Graphidaceae,,,,,Graphis,,Graphis scripta,,,,
119,Homalia trichomanoides,Paprastoji plokštenė,Plantae,163821,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Neckeraceae,,,,,Homalia,,Homalia trichomanoides,,,,
121,Rhodobryum roseum,Skrotelinė rožiasamanė,Plantae,167809,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,,,,Rhodobryum,,Rhodobryum roseum,,,,
122,Conocephalum conicum,Kūginė apiželė,Plantae,481941,Plantae,Marchantiophyta,,,Marchantiopsida,,,Marchantiales,,,Conocephalaceae,,,,,Conocephalum,,Conocephalum conicum,,,,
123,Evernia prunastri,Sodinė briedragė,Fungi,123175,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,,,Evernia,,Evernia prunastri,,,,
125,Talpa europaea,Kurmis,Mammalia,46970,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,,,Talpidae,Talpinae,,Talpini,,Talpa,,Talpa europaea,,,,
127,Hypogymnia tubulosa,Vamzdiškasis plynkežis,Fungi,179720,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,,,Hypogymnia,,Hypogymnia tubulosa,,,,
128,Stereum subtomentosum,Ryškiarievė plutpintė,Fungi,155081,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Stereaceae,,,,,Stereum,,Stereum subtomentosum,,,,
129,Atrichum undulatum,Vingialapė kemsa,Plantae,124155,Plantae,Bryophyta,,,Polytrichopsida,,,Polytrichales,,,Polytrichaceae,,,,,Atrichum,,Atrichum undulatum,,,,
130,Arthonia arthonioides,Tikroji artonija,Fungi,214225,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Arthoniaceae,,,,,Arthonia,,Arthonia arthonioides,,,,
131,Parmelia sulcata,Vagotasis kežas,Fungi,54734,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,,,Parmelia,,Parmelia sulcata,,,,
132,Zythia resinae,,Fungi,1225577,Fungi,Ascomycota,Pezizomycotina,,Sareomycetes,,,Sareales,,,Zythiaceae,,,,,Zythia,,Zythia resinae,,,,
133,Quercus robur,Paprastasis ąžuolas,Plantae,56133,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fagales,,,Fagaceae,,,,,Quercus,,Quercus robur,,,,
134,Mycena,Šalmabudė,Fungi,55922,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Marasmiineae,,Mycenaceae,,,,,Mycena,,,,,,
135,Chaenotheca chlorella,Žalsvoji žiovenė,Fungi,216582,Fungi,Ascomycota,Pezizomycotina,,Coniocybomycetes,,,Coniocybales,,,Coniocybaceae,,,,,Chaenotheca,,Chaenotheca chlorella,,,,
137,Mycelis muralis,Miškinė zuiksalotė,Plantae,48543,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,,Cichorieae,Lactucinae,Mycelis,,Mycelis muralis,,,,
138,Pseudanomodon attenuatus,Smulkioji kreivadantė,Plantae,1138520,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Neckeraceae,,,,,Pseudanomodon,,Pseudanomodon attenuatus,,,,
139,Vaccinium myrtillus,Paprastoji mėlynė,Plantae,127029,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Ericaceae,Vaccinioideae,,Vaccinieae,,Vaccinium,,Vaccinium myrtillus,,,,
141,Peniophora,Vaškuotė,Fungi,55879,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Peniophoraceae,,,,,Peniophora,,,,,,
142,Peltigera praetextata,Šiurkščioji meškapėdė,Fungi,127051,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,,,,,Peltigera,,Peltigera praetextata,,,,
143,Reichlingia leopoldii,Leopoldo reichlingija,Fungi,903261,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Arthoniaceae,,,,,Reichlingia,,Reichlingia leopoldii,,,,
146,Lepista nuda,Violetinė stirnabudė,Fungi,351380,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Tricholomatineae,,Clitocybaceae,,,Clitocybeae,,Lepista,,Lepista nuda,,,,
147,Eurhynchium angustirete,Bukoji gražiasnapė,Plantae,450672,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,,,,Eurhynchium,,Eurhynchium angustirete,,,,
148,Fomes fomentarius,Tikroji pintis,Fungi,127510,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Polyporaceae,,,,,Fomes,,Fomes fomentarius,,,,
149,Coenogonium pineti,Pušinė dubakerpė,Fungi,462754,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Ostropales,,,Coenogoniaceae,,,,,Coenogonium,,Coenogonium pineti,,,,
150,Vaccinium vitis-idaea,Paprastoji bruknė,Plantae,56312,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Ericaceae,Vaccinioideae,,Vaccinieae,,Vaccinium,,Vaccinium vitis-idaea,,,,
151,Cladonia digitata,Pirštuotoji šiurė,Fungi,217094,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,,,Cladonia,,Cladonia digitata,,,,
