taxon_id,count,created_at,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_superclass_name,taxon_class_name,taxon_subclass_name,taxon_superorder_name,taxon_order_name,taxon_suborder_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_supertribe_name,taxon_tribe_name,taxon_subtribe_name,taxon_genus_name,taxon_genushybrid_name,taxon_species_name,taxon_hybrid_name,taxon_subspecies_name,taxon_variety_name,taxon_form_name
6930,1083,2021-04-20 14:55:22 +0100,haircap mosses,Polytrichum,Gegužlinis,Plantae,6930,Plantae,Bryophyta,,,Polytrichopsida,,,Polytrichales,,,Polytrichaceae,,,,,Polytrichum,,,,,,
6930,1083,2018-05-30 16:42:02 +0100,red campion,Silene dioica,Raudonžiedis šakinys,Plantae,6930,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,Caryophylloideae,,Sileneae,,Silene,,Silene dioica,,,,
51884,1057,2021-08-08 05:59:31 +0100,,Plantae,Augalai,Plantae,51884,Plantae,,,,,,,,,,,,,,,,,,,,,
51884,1057,2020-05-24 10:22:56 +0100,Nendrinis Žnypliavoris,Larinioides cornutus,Nendrinis Žnypliavoris,Arachnida,51884,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,Araneinae,,,,Larinioides,,Larinioides cornutus,,,,
51610,967,2021-08-07 11:15:35 +0100,Walnoten,Juglans,Riešutmedis,Plantae,51610,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fagales,,,Juglandaceae,,,,,Juglans,,,,,,
51610,967,2020-05-23 20:05:51 +0100,Juodasiūlė boružė,Propylea quatuordecimpunctata,Juodasiūlė boružė,Insecta,51610,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Coccinelloidea,Coccinellidae,Coccinellinae,,Coccinellini,,Propylea,,Propylea quatuordecimpunctata,,,,
50814,913,2021-08-04 17:41:04 +0100,Kottarainen,Sturnus vulgaris,Paprastasis varnėnas,Aves,50814,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Sturnidae,,,,,Sturnus,,Sturnus vulgaris,,,,
50814,913,2020-05-22 20:03:47 +0100,Gausialapis lubinas,Lupinus polyphyllus,Gausialapis lubinas,Plantae,50814,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,,Genisteae,,Lupinus,,Lupinus polyphyllus,,,,
55757,899,2021-08-16 17:31:54 +0100,Cymus melanocephalus,Cymus melanocephalus,Tamsiagalvė dirvablakė,Insecta,55757,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Lygaeoidea,Cymidae,,,,,Cymus,,Cymus melanocephalus,,,,
55757,899,2020-05-27 21:15:12 +0100,Możylinek trójnerwowy,Moehringia trinervia,Trigyslė smiltagraibė,Plantae,55757,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,,,Arenarieae,,Moehringia,,Moehringia trinervia,,,,
55876,818,2021-08-16 20:31:22 +0100,paprastoji lanskva,Plantae,Augalai,Plantae,55876,Plantae,,,,,,,,,,,,,,,,,,,,,
55876,818,2020-05-28 07:55:17 +0100,Baltažiedė notrelė,Lamium album,Baltažiedė notrelė,Plantae,55876,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lamiaceae,Lamioideae,,Lamieae,,Lamium,,Lamium album,,,,
639660,781,,,,,,639660,,,,,,,,,,,,,,,,,,,,,,
47602,763,2021-07-26 15:59:58 +0100,Meadowsweet,Filipendula ulmaria,Pelkinė vingiorykštė,Plantae,47602,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Rosoideae,,Ulmarieae,,Filipendula,,Filipendula ulmaria,,,,
47602,763,2020-05-16 08:40:07 +0100,European Common Frog,Rana temporaria,Pievinė varlė,Amphibia,47602,Animalia,Chordata,Vertebrata,,Amphibia,,,Anura,,,Ranidae,,,,,Rana,,Rana temporaria,,,,
69624,760,2021-10-06 18:33:42 +0100,devil's beggarticks,Bidens frondosa,Ilgakotis lakišius,Plantae,69624,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,,Coreopsideae,,Bidens,,Bidens frondosa,,,,
69624,760,2020-06-13 12:36:59 +0100,Eurydema dominulus,Eurydema dominulus,Kryžmažiedinė skydblakė,Insecta,69624,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Pentatomoidea,Pentatomidae,Pentatominae,,Strachiini,,Eurydema,,Eurydema dominulus,,,,
47126,747,2021-07-25 17:10:40 +0100,Садовая славка,Sylvia borin,Sodinė devynbalsė,Aves,47126,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Sylviidae,,,,,Sylvia,,Sylvia borin,,,,
47126,747,2020-05-14 20:57:11 +0100,Knobbelzwaan,Cygnus olor,Gulbė nebylė,Aves,47126,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,,,Cygnus,,Cygnus olor,,,,
55745,741,2021-08-16 17:26:35 +0100,European Nursery Web spider,Pisaura mirabilis,Paprastasis guolininkas,Arachnida,55745,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Lycosoidea,Pisauridae,,,,,Pisaura,,Pisaura mirabilis,,,,
55745,741,2020-05-27 21:00:22 +0100,wood-sorrel,Oxalis acetosella,Paprastasis kiškiakopūstis,Plantae,55745,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Oxalidales,,,Oxalidaceae,,,,,Oxalis,,Oxalis acetosella,,,,
54734,739,2021-08-14 17:41:16 +0100,Стрельчатка,Acronicta,,Insecta,54734,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Acronictinae,,,,Acronicta,,,,,,
54734,739,2020-05-27 08:55:25 +0100,Vynuoginė sraigė,Helix pomatia,Vynuoginė sraigė,Mollusca,54734,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Helicidae,Helicinae,,Helicini,,Helix,,Helix pomatia,,,,
950603,704,,,,,,950603,,,,,,,,,,,,,,,,,,,,,,
54763,687,2021-08-14 19:04:23 +0100,Mosaikjungfern,Aeshna,,Insecta,54763,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Anisoptera,Aeshnoidea,Aeshnidae,,,,,Aeshna,,,,,,
54763,687,2020-05-27 09:51:59 +0100,5-spotted Lady Beetle,Coccinella quinquepunctata,Penkiataškė boružė,Insecta,54763,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Coccinelloidea,Coccinellidae,Coccinellinae,,Coccinellini,,Coccinella,,Coccinella quinquepunctata,,,,
144757,685,2022-08-29 20:06:57 +0100,Peltigère à bordure,Peltigera praetextata,Šiurkščioji meškapėdė,Fungi,144757,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,,,,,Peltigera,,Peltigera praetextata,,,,
55830,684,2021-08-16 19:52:32 +0100,Dark Mullein,Verbascum nigrum,Juodoji tūbė,Plantae,55830,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Scrophulariaceae,,,Scrophularieae,,Verbascum,,Verbascum nigrum,,,,
55830,684,2020-05-28 06:38:34 +0100,Cepaea,Cepaea,,Mollusca,55830,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Helicidae,Helicinae,,Allognathini,,Cepaea,,,,,,
4733,683,2021-04-10 11:57:44 +0100,Sclerotiniaceae,Sclerotiniaceae,Sklerotinijiniai,Fungi,4733,Fungi,Ascomycota,Pezizomycotina,,Leotiomycetes,,,Helotiales,,,Sclerotiniaceae,,,,,,,,,,,
4733,683,2018-04-19 09:43:21 +0100,field horsetail,Equisetum arvense,Dirvinis asiūklis,Plantae,4733,Plantae,Tracheophyta,,,Polypodiopsida,Equisetidae,,Equisetales,,,Equisetaceae,,,,,Equisetum,,Equisetum arvense,,,,
55563,680,2021-08-16 07:35:31 +0100,Copse-bindweed,Fallopia dumetorum,Pakrūminis pelėvirkštis,Plantae,55563,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Polygonaceae,Polygonoideae,,Polygoneae,Reynoutriinae,Fallopia,,Fallopia dumetorum,,,,
55563,680,2020-05-27 18:08:50 +0100,Spotless Starling,Passeriformes,Žvirbliniai paukščiai,Aves,55563,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,,,,,,,,,,,
52821,676,2021-08-10 15:17:30 +0100,Lepture rouge,Stictoleptura rubra,Raudonasis žieduolis,Insecta,52821,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Cerambycoidea,Cerambycidae,Lepturinae,,Lepturini,,Stictoleptura,,Stictoleptura rubra,,,,
52821,676,2020-05-25 11:49:02 +0100,Paprastoji pakalnutė,Convallaria majalis,Paprastoji pakalnutė,Plantae,52821,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Nolinoideae,,Convallarieae,,Convallaria,,Convallaria majalis,,,,
48484,665,2021-07-29 12:28:26 +0100,Травянка темноватая,Agriphila tristella,Tamsioji agrifila,Insecta,48484,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Pyraloidea,Crambidae,Crambinae,,Crambini,,Agriphila,,Agriphila tristella,,,,
48484,665,2020-05-17 13:46:13 +0100,flowering plants,Angiospermae,Gaubtasėkliai,Plantae,48484,Plantae,Tracheophyta,Angiospermae,,,,,,,,,,,,,,,,,,,
1098280,655,,,,,,1098280,,,,,,,,,,,,,,,,,,,,,,
51702,649,2021-08-07 14:41:52 +0100,Baltic Macoma,Macoma balthica,Baltijinė makoma,Mollusca,51702,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,Tellinoidea,Tellinidae,Macominae,,,,Macoma,,Macoma balthica,,,,
51702,649,2020-05-24 06:19:24 +0100,Raudondėmis Voriukas,Araniella cucurbitina,Raudondėmis voriukas,Arachnida,51702,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,Araneinae,,,,Araniella,,Araniella cucurbitina,,,,
55617,630,2021-08-16 10:46:44 +0100,Redroot Pigweed,Amaranthus retroflexus,Šiurkštusis burnotis,Plantae,55617,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Amaranthaceae,Amaranthoideae,,,,Amaranthus,,Amaranthus retroflexus,,,,
55617,630,2020-05-27 18:41:57 +0100,Rilaena triangularis,Rilaena triangularis,,Arachnida,55617,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Opiliones,Eupnoi,Phalangioidea,Phalangiidae,Phalangiinae,,,,Rilaena,,Rilaena triangularis,,,,
207977,619,,,,,,207977,,,,,,,,,,,,,,,,,,,,,,
54491,608,2021-08-14 11:47:56 +0100,chicory,Cichorium intybus,Paprastoji trūkažolė,Plantae,54491,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,,Cichorieae,Cichoriinae,Cichorium,,Cichorium intybus,,,,
54491,608,2020-05-26 18:38:34 +0100,Европейский крот,Talpa europaea,Kurmis,Mammalia,54491,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,,,Talpidae,Talpinae,,Talpini,,Talpa,,Talpa europaea,,,,
6921,607,2021-04-20 14:45:57 +0100,,Eriophorum vaginatum,Kupstinis švylys,Plantae,6921,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,,Scirpeae,,Eriophorum,,Eriophorum vaginatum,,,,
6921,607,2018-05-30 11:12:03 +0100,Kruszyna pospolita,Frangula alnus,Paprastasis šaltekšnis,Plantae,6921,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rhamnaceae,,,Rhamneae,,Frangula,,Frangula alnus,,,,
14850,605,2021-05-17 06:51:00 +0100,,Tipuloidea,,Insecta,14850,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,Tipuloidea,,,,,,,,,,,,
14850,605,2019-04-18 08:02:11 +0100,Grove Snail,Cepaea nemoralis,Rudalūpė dryžė,Mollusca,14850,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Helicidae,Helicinae,,Allognathini,,Cepaea,,Cepaea nemoralis,,,,
48206,604,2021-07-28 15:45:50 +0100,,Bombus,Kamanės,Insecta,48206,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Apidae,Apinae,,Bombini,,Bombus,,,,,,
48206,604,2020-05-17 06:45:02 +0100,Лещина обыкновенная,Corylus avellana,Paprastasis lazdynas,Plantae,48206,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fagales,,,Betulaceae,,,,,Corylus,,Corylus avellana,,,,
47157,599,2021-07-25 18:45:21 +0100,Клевер ползучий,Trifolium repens,Baltasis dobilas,Plantae,47157,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,,Trifolieae,,Trifolium,,Trifolium repens,,,,
47157,599,2020-05-15 06:27:41 +0100,Paprastoji kiaulpienė,Taraxacum officinale,Paprastoji kiaulpienė,Plantae,47157,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,,Cichorieae,Crepidinae,Taraxacum,,Taraxacum officinale,,,,
58722,599,2021-08-23 16:15:17 +0100,Raudonstiebis snaputis,Geranium robertianum,Raudonstiebis snaputis,Plantae,58722,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Geraniales,,,Geraniaceae,,,,,Geranium,,Geranium robertianum,,,,
58722,599,2020-05-31 12:19:06 +0100,wood-sorrel,Oxalis acetosella,Paprastasis kiškiakopūstis,Plantae,58722,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Oxalidales,,,Oxalidaceae,,,,,Oxalis,,Oxalis acetosella,,,,
311249,581,,,,,,311249,,,,,,,,,,,,,,,,,,,,,,
123175,574,2022-07-06 05:17:46 +0100,Paprastasis amalas,Viscum album,Paprastasis amalas,Plantae,123175,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Santalales,,,Santalaceae,,,Visceae,,Viscum,,Viscum album,,,,
123175,574,2021-04-06 10:36:45 +0100,Paprastasis rūtenis,Corydalis solida,Paprastasis rūtenis,Plantae,123175,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,Papaveraceae,Fumarioideae,,,,Corydalis,,Corydalis solida,,,,
51741,565,2021-08-07 15:59:15 +0100,Carpocoris fuscispinus,Carpocoris fuscispinus,Tamsiaūsė skydblakė,Insecta,51741,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Pentatomoidea,Pentatomidae,Pentatominae,,Carpocorini,,Carpocoris,,Carpocoris fuscispinus,,,,
51741,565,2020-05-24 08:19:01 +0100,Sidabražvynis Lapinukas,Phyllobius argentatus,Sidabražvynis Lapinukas,Insecta,51741,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Entiminae,,Phyllobiini,,Phyllobius,,Phyllobius argentatus,,,,
47167,557,2021-07-25 18:55:40 +0100,Желтушник левкойный,Erysimum cheiranthoides,Smalkinis tvertikas,Plantae,47167,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,,Erysimeae,,Erysimum,,Erysimum cheiranthoides,,,,
47167,557,2020-05-15 07:02:27 +0100,Prionychus ater,Prionychus ater,Kelminis Dulkiagraužis,Insecta,47167,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Tenebrionoidea,Tenebrionidae,Alleculinae,,Alleculini,Alleculina,Prionychus,,Prionychus ater,,,,
63567,552,2021-09-07 16:51:08 +0100,Политрихум сжатый,Polytrichum strictum,Durpyninis gegužlinis,Plantae,63567,Plantae,Bryophyta,,,Polytrichopsida,,,Polytrichales,,,Polytrichaceae,,,,,Polytrichum,,Polytrichum strictum,,,,
63567,552,2020-06-06 12:56:34 +0100,Pataisas varinčius,Spinulum annotinum,Pataisas varinčius,Plantae,63567,Plantae,Tracheophyta,,,Lycopodiopsida,,,Lycopodiales,,,Lycopodiaceae,Lycopodioideae,,,,Spinulum,,Spinulum annotinum,,,,
56133,551,2021-08-17 17:52:04 +0100,Wald-Sandlaufkäfer,Cicindela sylvatica,Miškinis Šoklys,Insecta,56133,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Cicindelinae,,Cicindelini,Cicindelina,Cicindela,,Cicindela sylvatica,,,,
56133,551,2020-05-28 14:32:05 +0100,black crowberry,Empetrum nigrum,Juodoji varnauogė,Plantae,56133,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Ericaceae,Ericoideae,,Empetreae,,Empetrum,,Empetrum nigrum,,,,
182631,550,,,,,,182631,,,,,,,,,,,,,,,,,,,,,,
127510,536,2022-07-14 10:20:51 +0100,musk mallow,Malva moschata,Kvapioji dedešva,Plantae,127510,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malvales,,,Malvaceae,Malvoideae,,Malveae,,Malva,,Malva moschata,,,,
53021,524,2021-08-10 21:08:42 +0100,,Talitrus saltator,,Animalia,53021,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitroidea,Talitridae,Talitrinae,,,,Talitrus,,Talitrus saltator,,,,
53021,524,2020-05-25 15:11:47 +0100,Guoba,Ulmus,Guoba,Plantae,53021,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Ulmaceae,,,,,Ulmus,,,,,,
76897,505,2022-01-02 15:43:00 +0100,Picipes,Picipes,,Fungi,76897,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Polyporaceae,,,,,Picipes,,,,,,
76897,505,2020-06-24 10:22:06 +0100,,Hypnum cupressiforme,Kiparisinė patisa,Plantae,76897,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Hypnaceae,,,,,Hypnum,,Hypnum cupressiforme,,,,
56174,504,2021-08-17 19:14:08 +0100,Cixius,Cixius,,Insecta,56174,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Auchenorrhyncha,Cixioidea,Cixiidae,Cixiinae,,Cixiini,,Cixius,,,,,,
56174,504,2020-05-28 15:00:32 +0100,Anas platyrhynchos domesticus,Anas platyrhynchos domesticus,Naminė antis,Aves,56174,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,,,Anas,,Anas platyrhynchos,,,Anas platyrhynchos domesticus,
79109,499,2022-02-10 20:57:11 +0100,Ксантория настенная,Xanthoria parietina,Sieninė geltonkerpė,Fungi,79109,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Teloschistaceae,Xanthorioideae,,,,Xanthoria,,Xanthoria parietina,,,,
79109,499,2020-06-28 11:23:17 +0100,Meadow Crane's-bill,Geranium pratense,Pievinis snaputis,Plantae,79109,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Geraniales,,,Geraniaceae,,,,,Geranium,,Geranium pratense,,,,
326296,498,,,,,,326296,,,,,,,,,,,,,,,,,,,,,,
203153,496,,,,,,203153,,,,,,,,,,,,,,,,,,,,,,
129115,496,2022-07-18 09:09:29 +0100,Mėlynžiedis laumžirgis,Aeshna cyanea,Mėlynžiedis laumžirgis,Insecta,129115,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Anisoptera,Aeshnoidea,Aeshnidae,,,,,Aeshna,,Aeshna cyanea,,,,
13695,493,2021-05-15 14:08:08 +0100,Leopard Slug,Limax maximus,Didysis šliužas,Mollusca,13695,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Limacoidea,Limacidae,Limacinae,,,,Limax,,Limax maximus,,,,
13695,493,2019-03-17 12:01:06 +0100,Flat-leaved Scalewort,Radula complanata,Plokščioji miltuotė,Plantae,13695,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Porellales,,,Radulaceae,,,,,Radula,,Radula complanata,,,,
50298,492,2021-08-02 19:26:35 +0100,Xanthoria parietina,Xanthoria parietina,Sieninė geltonkerpė,Fungi,50298,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Teloschistaceae,Xanthorioideae,,,,Xanthoria,,Xanthoria parietina,,,,
50298,492,2020-05-21 16:06:31 +0100,Bogbean,Menyanthes trifoliata,Trilapis Puplaiškis,Plantae,50298,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Menyanthaceae,,,,,Menyanthes,,Menyanthes trifoliata,,,,
56222,492,2021-08-17 20:25:02 +0100,common bracken,Pteridium aquilinum,Didžialapis šakys,Plantae,56222,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Dennstaedtiineae,,Dennstaedtiaceae,,,,,Pteridium,,Pteridium aquilinum,,,,
56222,492,2020-05-28 15:32:53 +0100,Lapsamanės,Bryopsida,Lapsamanės,Plantae,56222,Plantae,Bryophyta,,,Bryopsida,,,,,,,,,,,,,,,,,
52913,491,2021-08-10 17:55:32 +0100,Upinė nendrenė,Viviparus viviparus,Upinė nendrenė,Mollusca,52913,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Architaenioglossa,,Viviparoidea,Viviparidae,Viviparinae,,,,Viviparus,,Viviparus viviparus,,,,
52913,491,2020-05-25 13:33:53 +0100,Vynuoginė sraigė,Helix pomatia,Vynuoginė sraigė,Mollusca,52913,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Helicidae,Helicinae,,Helicini,,Helix,,Helix pomatia,,,,
25591,490,2021-06-07 16:12:30 +0100,Psylla alni,Psylla alni,,Insecta,25591,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Sternorrhyncha,Psylloidea,Psyllidae,Psyllinae,,,,Psylla,,Psylla alni,,,,
25591,490,2019-08-28 12:14:08 +0100,Suffolk Lungwort,Pulmonaria obscura,Tamsioji plautė,Plantae,25591,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,Boraginaceae,Boraginoideae,,Boragineae,,Pulmonaria,,Pulmonaria obscura,,,,
125655,486,2022-07-10 15:18:38 +0100,Mažasis Juodmargis,Limenitis camilla,Mažasis Juodmargis,Insecta,125655,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Nymphalidae,Limenitidinae,,Limenitidini,,Limenitis,,Limenitis camilla,,,,
144510,480,2022-08-29 03:40:27 +0100,Lelijinis Ugniukas,Elophila nymphaeata,Lelijinis Ugniukas,Insecta,144510,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Pyraloidea,Crambidae,Acentropinae,,,,Elophila,,Elophila nymphaeata,,,,
52628,475,2021-08-09 18:42:58 +0100,wild cucumber,Echinocystis lobata,Dygliavaisis virkštenis,Plantae,52628,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Cucurbitales,,,Cucurbitaceae,,,Sicyoeae,,Echinocystis,,Echinocystis lobata,,,,
