,taxon_id,count,scientific_name,common_name,iconic_taxon_name,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_superclass_name,taxon_class_name,taxon_subclass_name,taxon_superorder_name,taxon_order_name,taxon_suborder_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_supertribe_name,taxon_tribe_name,taxon_subtribe_name,taxon_genus_name,taxon_genushybrid_name,taxon_species_name,taxon_hybrid_name,taxon_subspecies_name,taxon_variety_name,taxon_form_name
20,55830,684,Glechoma hederacea,Šliaužiančioji tramažolė,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lamiaceae,Nepetoideae,,Mentheae,Nepetinae,Glechoma,,Glechoma hederacea,,,,
21,4733,683,Ciconia ciconia,Baltasis gandras,Aves,Animalia,Chordata,Vertebrata,,Aves,,,Ciconiiformes,,,Ciconiidae,,,,,Ciconia,,Ciconia ciconia,,,,
22,55563,680,Bellis perennis,Daugiametė saulutė,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,,Astereae,Bellidinae,Bellis,,Bellis perennis,,,,
23,52821,676,Achillea millefolium,Paprastoji kraujažolė,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,,Anthemideae,Matricariinae,Achillea,,Achillea millefolium,,,,
24,48484,665,Harmonia axyridis,Azijinė boružė,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Coccinelloidea,Coccinellidae,Coccinellinae,,Coccinellini,,Harmonia,,Harmonia axyridis,,,,
25,1098280,655,Fomitopsis pinicola,Raudonkraštė pintainė,Fungi,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Fomitopsidaceae,,,,,Fomitopsis,,Fomitopsis pinicola,,,,
26,51702,649,Coccinella septempunctata,Septyntaškė boružė,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Coccinelloidea,Coccinellidae,Coccinellinae,,Coccinellini,,Coccinella,,Coccinella septempunctata,,,,
27,55617,630,Arianta arbustorum,Taškuotoji arianta,Mollusca,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Helicidae,Ariantinae,,,,Arianta,,Arianta arbustorum,,,,
28,207977,619,Aglais io,Spungė,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Nymphalidae,Nymphalinae,,Nymphalini,,Aglais,,Aglais io,,,,
29,54491,608,Corylus avellana,Paprastasis lazdynas,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fagales,,,Betulaceae,,,,,Corylus,,Corylus avellana,,,,
30,6921,607,Cygnus olor,Gulbė nebylė,Aves,Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,,,Cygnus,,Cygnus olor,,,,
31,14850,605,Sturnus vulgaris,Paprastasis varnėnas,Aves,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Sturnidae,,,,,Sturnus,,Sturnus vulgaris,,,,
32,48206,604,Convallaria majalis,Paprastoji pakalnutė,Plantae,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Nolinoideae,,Convallarieae,,Convallaria,,Convallaria majalis,,,,
34,58722,599,Pinus sylvestris,Paprastoji pušis,Plantae,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,Pinaceae,,,,,Pinus,,Pinus sylvestris,,,,
33,47157,599,Lepidoptera,Drugiai,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,,,,,,,,,,,,,
35,311249,581,Bryophyta,Samanūnai,Plantae,Plantae,Bryophyta,,,,,,,,,,,,,,,,,,,,
36,123175,574,Evernia prunastri,Sodinė briedragė,Fungi,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,,,Evernia,,Evernia prunastri,,,,
37,51741,565,Aegopodium podagraria,Paprastoji garšva,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,Apiaceae,Apioideae,,Careae,,Aegopodium,,Aegopodium podagraria,,,,
38,47167,557,Agaricales,Agarikiečiai,Fungi,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,,,,,,,,,,,,
39,63567,552,Picea abies,Paprastoji eglė,Plantae,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,Pinaceae,,,,,Picea,,Picea abies,,,,
40,56133,551,Quercus robur,Paprastasis ąžuolas,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fagales,,,Fagaceae,,,,,Quercus,,Quercus robur,,,,
41,182631,550,Phlyctis argena,Eglinė spuogė,Fungi,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Ostropales,,,Phlyctidaceae,,,,,Phlyctis,,Phlyctis argena,,,,
42,127510,536,Fomes fomentarius,Tikroji pintis,Fungi,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Polyporaceae,,,,,Fomes,,Fomes fomentarius,,,,
43,53021,524,Convolvulus arvensis,Dirvinis vijoklis,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,Convolvulaceae,Convolvuloideae,,Convolvuleae,,Convolvulus,,Convolvulus arvensis,,,,
44,76897,505,Erigeron annuus,Vienmetė šiušelė,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,,Astereae,Conyzinae,Erigeron,,Erigeron annuus,,,,
45,56174,504,Echium vulgare,Paprastasis ežeinis,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,Boraginaceae,Boraginoideae,,Lithospermeae,,Echium,,Echium vulgare,,,,
46,79109,499,Silene latifolia,Baltasis šakinys,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,Caryophylloideae,,Sileneae,,Silene,,Silene latifolia,,,,
47,326296,498,Bufo bufo,Pilkoji rupūžė,Amphibia,Animalia,Chordata,Vertebrata,,Amphibia,,,Anura,,,Bufonidae,,,,,Bufo,,Bufo bufo,,,,
48,203153,496,Parus major,Didžioji zylė,Aves,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Paridae,,,,,Parus,,Parus major,,,,
49,129115,496,Knautia arvensis,Dirvinė buožainė,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,Caprifoliaceae,Dipsacoideae,,,,Knautia,,Knautia arvensis,,,,
50,13695,493,Motacilla alba,Baltoji kielė,Aves,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Motacillidae,,,,,Motacilla,,Motacilla alba,,,,
51,50298,492,Fragaria vesca,Paprastoji žemuogė,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Rosoideae,,Potentilleae,Fragariinae,Fragaria,,Fragaria vesca,,,,
52,56222,492,Tussilago farfara,Ankstyvasis šalpusnis,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,,Senecioneae,Tussilagininae,Tussilago,,Tussilago farfara,,,,
53,52913,491,Cichorium intybus,Paprastoji trūkažolė,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,,Cichorieae,Cichoriinae,Cichorium,,Cichorium intybus,,,,
54,25591,490,Rana temporaria,Pievinė varlė,Amphibia,Animalia,Chordata,Vertebrata,,Amphibia,,,Anura,,,Ranidae,,,,,Rana,,Rana temporaria,,,,
55,125655,486,Anoplotrupes stercorosus,Miškinis mėšlavabalis,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Scarabaeoidea,Geotrupidae,Geotrupinae,,Geotrupini,,Anoplotrupes,,Anoplotrupes stercorosus,,,,
56,144510,480,Chroicocephalus ridibundus,Rudagalvis kiras,Aves,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Laridae,Larinae,,,,Chroicocephalus,,Chroicocephalus ridibundus,,,,
57,52628,475,Araneus diadematus,Paprastasis kryžiuotis,Arachnida,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,Araneinae,,,,Araneus,,Araneus diadematus,,,,
58,56063,473,Sorbus aucuparia,Paprastasis šermukšnis,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,,Maleae,,Sorbus,,Sorbus aucuparia,,,,
59,10070,472,Fringilla coelebs,Paprastasis kikilis,Aves,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Fringillidae,,,,,Fringilla,,Fringilla coelebs,,,,
60,59549,470,Lupinus polyphyllus,Gausialapis lubinas,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,,Genisteae,,Lupinus,,Lupinus polyphyllus,,,,
61,117971,466,Hypogymnia physodes,Putlusis plynkežis,Fungi,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,,,Hypogymnia,,Hypogymnia physodes,,,,
62,55814,458,Corydalis solida,Paprastasis rūtenis,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,Papaveraceae,Fumarioideae,,,,Corydalis,,Corydalis solida,,,,
63,50247,453,Maianthemum bifolium,Dvilapė medutė,Plantae,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Nolinoideae,,Polygonateae,,Maianthemum,,Maianthemum bifolium,,,,
64,46970,451,Talpa europaea,Kurmis,Mammalia,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Eulipotyphla,,,Talpidae,Talpinae,,Talpini,,Talpa,,Talpa europaea,,,,
65,204321,450,Ficaria verna,Pavasarinis švitriešis,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,Ranunculaceae,Ranunculoideae,,Ranunculeae,,Ficaria,,Ficaria verna,,,,
66,52771,449,Gonepteryx rhamni,Citrinukas,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Pieridae,Coliadinae,,,,Gonepteryx,,Gonepteryx rhamni,,,,
67,51875,443,Trifolium pratense,Raudonasis dobilas,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,,Trifolieae,,Trifolium,,Trifolium pratense,,,,
68,55819,440,Primula veris,Pavasarinė raktažolė,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Primulaceae,Primuloideae,,Primuleae,,Primula,,Primula veris,,,,
69,49133,438,Vanessa atalanta,Admirolas,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Nymphalidae,Nymphalinae,,Nymphalini,,Vanessa,,Vanessa atalanta,,,,
70,12716,437,Turdus merula,Juodasis strazdas,Aves,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Turdidae,,,,,Turdus,,Turdus merula,,,,
71,133031,430,Chrysosplenium alternifolium,Pražangialapė blužnutė,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,Saxifragaceae,,,Chrysosplenieae,,Chrysosplenium,,Chrysosplenium alternifolium,,,,
72,48586,430,Cepaea nemoralis,Rudalūpė dryžė,Mollusca,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Helicoidea,Helicidae,Helicinae,,Allognathini,,Cepaea,,Cepaea nemoralis,,,,
73,229765,429,Ramalina fraxinea,Uosinė ramalina,Fungi,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Ramalinaceae,,,,,Ramalina,,Ramalina fraxinea,,,,
74,950596,429,Anemonoides ranunculoides,Geltonžiedė plukė,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,Ranunculaceae,Ranunculoideae,,Anemoneae,,Anemonoides,,Anemonoides ranunculoides,,,,
75,482,429,Fulica atra,Laukys,Aves,Animalia,Chordata,Vertebrata,,Aves,,,Gruiformes,,,Rallidae,,,,,Fulica,,Fulica atra,,,,
76,54468,427,Aglais urticae,Dilgėlinukas,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Nymphalidae,Nymphalinae,,Nymphalini,,Aglais,,Aglais urticae,,,,
77,204339,422,Lamium galeobdolon,Geltonžiedis šalmutis,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lamiaceae,Lamioideae,,Lamieae,,Lamium,,Lamium galeobdolon,,,,
78,35453,417,Zootoca vivipara,Gyvavedis driežas,Reptilia,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Sauria,,Lacertidae,Lacertinae,,,,Zootoca,,Zootoca vivipara,,,,
79,17871,416,Dendrocopos major,Didysis margasis genys,Aves,Animalia,Chordata,Vertebrata,,Aves,,,Piciformes,,,Picidae,,,,,Dendrocopos,,Dendrocopos major,,,,
80,42184,416,Capreolus capreolus,Stirna,Mammalia,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Cervidae,Capreolinae,,Capreolini,,Capreolus,,Capreolus capreolus,,,,
81,966787,415,Natrix natrix,Geltonskruostis žaltys,Reptilia,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Colubridae,Natricinae,,,,Natrix,,Natrix natrix,,,,
82,122767,409,Columba livia domestica,Naminis karvelis,Aves,Animalia,Chordata,Vertebrata,,Aves,,,Columbiformes,,,Columbidae,,,,,Columba,,Columba livia,,Columba livia domestica,,
83,124544,405,Anthriscus sylvestris,Krūminis builis,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,Apiaceae,Apioideae,,Scandiceae,Scandicinae,Anthriscus,,Anthriscus sylvestris,,,,
84,58961,404,Plantago major,Plačialapis gyslotis,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,,Plantagineae,,Plantago,,Plantago major,,,,
85,48197,401,Melolontha melolontha,Paprastasis grambuolys,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Scarabaeoidea,Scarabaeidae,Melolonthinae,,Melolonthini,,Melolontha,,Melolontha melolontha,,,,
86,51736,400,Impatiens parviflora,Smulkiažiedė sprigė,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Balsaminaceae,,,,,Impatiens,,Impatiens parviflora,,,,
88,132600,399,Tilia cordata,Mažalapė liepa,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malvales,,,Malvaceae,Tilioideae,,,,Tilia,,Tilia cordata,,,,
87,56225,399,Polygonia c-album,Karpytūnė,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Nymphalidae,Nymphalinae,,Nymphalini,,Polygonia,,Polygonia c-album,,,,
89,123920,395,Dorcus parallelipipedus,Platusis elniavabalis,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Scarabaeoidea,Lucanidae,Lucaninae,,Lucanini,,Dorcus,,Dorcus parallelipipedus,,,,
90,1024536,392,Rabelera holostea,Krūmokšninė žliūgė,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,,,Alsineae,,Rabelera,,Rabelera holostea,,,,
91,55734,391,Sedum acre,Aitrusis šilokas,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,Crassulaceae,Sempervivoideae,,Sedeae,,Sedum,,Sedum acre,,,,
92,56224,390,Caltha palustris,Pelkinė puriena,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,Ranunculaceae,Ranunculoideae,,Caltheae,,Caltha,,Caltha palustris,,,,
93,47726,388,Acer negundo,Uosialapis klevas,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Sapindales,,,Sapindaceae,,,,,Acer,,Acer negundo,,,,
94,55787,386,Pisaura mirabilis,Paprastasis guolininkas,Arachnida,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Lycosoidea,Pisauridae,,,,,Pisaura,,Pisaura mirabilis,,,,
95,57500,385,Melampyrum nemorosum,Krūminis kūpolis,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Orobanchaceae,,,Rhinantheae,,Melampyrum,,Melampyrum nemorosum,,,,
96,204168,383,Spinulum annotinum,Pataisas varinčius,Plantae,Plantae,Tracheophyta,,,Lycopodiopsida,,,Lycopodiales,,,Lycopodiaceae,Lycopodioideae,,,,Spinulum,,Spinulum annotinum,,,,
97,13858,383,Passer domesticus,Naminis žvirblis,Aves,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Passeridae,,,,,Passer,,Passer domesticus,,,,
98,52724,380,Equisetum arvense,Dirvinis asiūklis,Plantae,Plantae,Tracheophyta,,,Polypodiopsida,Equisetidae,,Equisetales,,,Equisetaceae,,,,,Equisetum,,Equisetum arvense,,,,
99,12707,379,Turdus pilaris,Smilginis strazdas,Aves,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Turdidae,,,,,Turdus,,Turdus pilaris,,,,
100,47603,377,Taraxacum,Kiaulpienė,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,,Cichorieae,Crepidinae,Taraxacum,,,,,,
101,143793,375,Prunus padus,Paprastoji ieva,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,,Amygdaleae,,Prunus,,Prunus padus,,,,
102,48685,374,Typha latifolia,Plačialapis švendras,Plantae,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Typhaceae,,,,,Typha,,Typha latifolia,,,,
103,53779,374,Humulus lupulus,Paprastasis apynys,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Cannabaceae,,,,,Humulus,,Humulus lupulus,,,,
104,48715,373,Amanita muscaria,Paprastoji musmirė,Fungi,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Pluteineae,,Amanitaceae,,,Amaniteae,,Amanita,,Amanita muscaria,,,,
105,119450,373,Calluna vulgaris,Šilinis viržis,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Ericaceae,Ericoideae,,Ericeae,,Calluna,,Calluna vulgaris,,,,
106,122555,372,Hylocomium splendens,Atžalinė gūžtvė,Plantae,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Hylocomiaceae,,,,,Hylocomium,,Hylocomium splendens,,,,
107,53713,372,Laetiporus sulphureus,Valgomoji geltonpintė,Fungi,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Laetiporaceae,,,,,Laetiporus,,Laetiporus sulphureus,,,,
108,128901,372,Asarum europaeum,Europinė pipirlapė,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Piperales,,,Aristolochiaceae,Asaroideae,,,,Asarum,,Asarum europaeum,,,,
109,75762,371,Berteroa incana,Pilkoji miltinaitė,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,,Alysseae,,Berteroa,,Berteroa incana,,,,
110,55760,370,Viola arvensis,Dirvinė našlaitė,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Violaceae,,,,,Viola,,Viola arvensis,,,,
111,56121,368,Capsella bursa-pastoris,Trikertė žvaginė,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,,Camelineae,,Capsella,,Capsella bursa-pastoris,,,,
112,50867,367,Argiope bruennichi,Paprastasis vapsvavoris,Arachnida,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,Argiopinae,,,,Argiope,,Argiope bruennichi,,,,
113,55971,367,Tanacetum vulgare,Paprastoji bitkrėslė,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,,Anthemideae,Anthemidinae,Tanacetum,,Tanacetum vulgare,,,,
114,47125,366,Angiospermae,Gaubtasėkliai,Plantae,Plantae,Tracheophyta,Angiospermae,,,,,,,,,,,,,,,,,,,
115,113525,363,Sympetrum sanguineum,Kruvinoji Skėtė,Insecta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Anisoptera,Libelluloidea,Libellulidae,,,,,Sympetrum,,Sympetrum sanguineum,,,,
116,3048,362,Columba palumbus,Keršulis,Aves,Animalia,Chordata,Vertebrata,,Aves,,,Columbiformes,,,Columbidae,,,,,Columba,,Columba palumbus,,,,
117,55925,362,Geranium robertianum,Raudonstiebis snaputis,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Geraniales,,,Geraniaceae,,,,,Geranium,,Geranium robertianum,,,,
118,63134,362,Filipendula ulmaria,Pelkinė vingiorykštė,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Rosoideae,,Ulmarieae,,Filipendula,,Filipendula ulmaria,,,,
119,49490,361,Cladonia,Šiurė,Fungi,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,,,Cladonia,,,,,,
120,61321,359,Lythrum salicaria,Paprastoji raudoklė,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,Lythraceae,,,,,Lythrum,,Lythrum salicaria,,,,
121,159763,358,Campanula patula,Pievinis katilėlis,Plantae,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Campanulaceae,Campanuloideae,,,,Campanula,,Campanula patula,,,,
